Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams,Company,,,,,,,
,,Environmental activities,,Long shelf life of the products,,,,Taxes,,,,,,,,,
,,,,,,,,Charitable donations,,,,,,,,,
"The virtual application of the service enables Monday.com's customers to use the software from anywhere and at any time. Furthermore, several users can access the software at the same time, which significantly speeds up the workflow and makes it more efficient.",Company,The provision of a cloud-based working OS,Team,Einfach zu bedienen,Online application,Website,Manager,Wages and salaries,"Monthly subscription income (Basic , Standard, Pro, Enterprise)",monday-com,,,,,,,
,Investors,Software as a service,User/Buyer,Effizienz,Mobile application,Mobile Design,Project Manager Teams,Website Development,Issue of shares,,,,,,,,
,Banks,,,Kollaboration,Support Portal,Social Media,In all companies where collaboration and a controlled workflow are important.,Software Development,Income through distribution partners,,,,,,,,
,Media,,,Gesteigerter Arbeitsablauf,"""How to"" YouTube videos",Blogs,,Human Resources,,,,,,,,,
,Distribution partners,,,Dinge erledigt bekommen,24/7 customer service,Public Relation,,Marketing,,,,,,,,,
,,,,,Status page,Word of Mouth,,"Fixed costs (e.g. rent of offices, server rooms, etc.)",,,,,,,,,
"The reusability of the rockets radically differentiates Spacex from its competitors. In general, Spacex has extremely great advantages compared to its competitors.",Nasa,Launch missions of any kind,Unbeaten expertise in space travel,Transport of cargo or crew into orbit with reusable rockets,"Direct, individual interaction",Website,Nasa,R&D,Licensing of technologies,spacex,,,,,,,
,Google,Rocket development and construction,Reusable rockets,Launch into orbit from satellites,Long running contracts,Launch facilities,Telecommunications Company,Salaries/Employees,Crew Launch Missions,,,,,,,,
,Fidelity,R&D for Starlink,Human capital,Possible colonisation of the planet Mars,Ongoing contact with a SpaceX customer contact person,SpaceX Büro,US AirForce,Material purchase,Cargo Launch Missions,,,,,,,,
,Investoren Gruppe Draper Fisher Jurvetson,Expand satellite network,Good finances,Cutting Costs,,Social Media,US Department of Defense,Infrastructure development to be able to build rockets at all,Satellite Launch Missions,,,,,,,,
,Suppliers,,Intellectual property,Making fast internet easily available everywhere,,,"(Once also FB, until a satellite crashed, but basically any company that can afford or needs it).",Launch missions,In the future: Space tourism,,,,,,,,
,FAA,,Good networking in industry and with authorities,,,,Airlines,,Starlink Subscriptions,,,,,,,,
,US Airforce,,,,,,Individuals,,Starlink Satellite Dish,,,,,,,,
,US Department of Defense,,,,,,,,,,,,,,,,
"Bitpanda wants to reach as many people as possible, making it accessible to everyone with a simple personal check. Bitpanda currently has over 3 million users.",Investors,Accounting,global digital asset exchange (gdax),Creating an open financial system for the world,Support team,Website,Investment beginners,Platform development and maintenance,a minimum fee + a variable fee for exchange transactions both for consumers),bitpanda,,,,,,,
,Payment companies,Auditing,user-oriented retail broker from cryptocurrencies to fiat currencies,make digital currencies accessible and affordable for everyone,Exchange digital assets,App,Experienced traders,Server,,,,,,,,,
,Financial Markets,Investment banking,buy/sell trading functions,develop user-oriented products that are easier and more intuitive to use,Get real-time or historical price information,Various payment providers,Most of the customers are between 25 and 34,Employees,,,,,,,,,
,MV Index Solution,Technical support,Bitcoin as the world's most used alternative currency,create the world's most popular way to buy and sell currencies,Loyalty bonus,Blog,,Secure data centers,,,,,,,,,
,Raiffeisen Bank International,,Best Bitpanda Stocks,,Self-service platform and 100% automated,Community Forum,,,,,,,,,,,
,Contis (Visa debit card),,,,,Social Media,,,,,,,,,,,
"Peloton has a relatively large training community. By buying a Peloton product, you become part of the community.",Investors,Design & manufacture of fitness equipment and accessories,Brand,High quality spinning & fitness classes live and on-demand from the NYC studio to your home.,Community,Website,Health-conscious people (buyers of the apparel & sports accessories),Production,"Revenue margin: Sales of connected fitness products (bikes, treadmills)",peloton,,,,,,,
,Logistics partner,Live Workouts,Showrooms,Motivating training community,Customer support,Social media Peloton Showroom,Health-conscious people aged 18 and over with a higher income (purchasers of Pelleton fitness equipment and subscribers).,Marketing & Sales (Online & Showrooms),Monthly subscription devices ($39 or $49),,,,,,,,
,Manufacturer,On-Demand Workouts,Community of users,Feedback from trainer during live classes,Instructors in the live courses,Instructors,"USA, Canada, Germany , UK & Australia",Instructors,Monthly subscription app ($12.99),,,,,,,,
,Instructor,Special Events,Constructors from the NYC Studio,Personal health metrics & progress tracking,App,App,,Staff,Clothing & Accessories,,,,,,,,
,Music Licences (Spotify),Workouts with celebrities,Fitness equipment,Professional workouts on app,,Influencer,,Hardware & Software Development & Design,,,,,,,,,
,JBL - Headphones,Software development,Software,High quality fitness clothing and accessories,,Podcasts,,Logistics & Installation,,,,,,,,,
,"Film, streaming team",Marketing,NYC Studio,,,,,Server & Data Processing,,,,,,,,,
,"Third-party cloud (AWS), ERP, EPM and Big Data paterns (Orcle)",Community Management,,,,,,Film and streaming services,,,,,,,,,
"Freeletics offers its website on the one hand as a platform for customers or people who want to become Freeletics users. On the other hand, the website offers an online shop for fitness equipment and sportswear and a blog with numerous fitness topics.",Ambassadors,Workout Plans,Brand,Tailor-made training plans,Unterstützungs-Team,Website,People between 18-70 years,Marketing,Cooperation,freeletics,,,,,,,
,Technology Partners,Workout Videos,Databases,Workouts suitable for beginners and professionals,Online-Anwendung,Mobile app,People who want to work on their physical goals,App development,Subscriptions,,,,,,,,
,App developers,Nutrition plans,App,Large community,Mobile Anwendung,Social media,People who like to train in a structured way according to a ready-made plan,Website Development,,,,,,,,,
,Fitness Coaches,Online shop,Coaches and nutrition experts,Ambassadors in many different countries,Digitaler Fitnesscoach,Blogs,,Data mining,,,,,,,,,
,Nutritionists,,Workouts and nutrition plans,Freeletics App,,TV,,Human capital,,,,,,,,,
,,,,Digital Coaching,,Influencer,,,,,,,,,,,
,,,,AI based,,,,,,,,,,,,,
"Cewe offers customers easy access to the development of their snapshots. To order Cewe products, registration or data entry as a guest is required, but this is very very quick and free of charge for everyone. ","Retail partners (BIPA, BILLA, DM, Hartlauer, MediaMarkt, Müller)",Development of new designs and expansion of the product range,Brand,Trusted platform,"Support Team??online Chat, Telefon Hotline, email Service",Website,Consumers,Platform development,Turnover per product sold online,cewe,,,,,,,
,Austrian Pos,Customer service,Photo lab,Based in Germany,Pay now or later Optionen,Mobile app,Trade partners,Platform Design (UI/UX),Turnover per product sold to retail partners,,,,,,,,
,Cooperation partner ,Marketing,Internet accessible devices,Many trading partners in Germany/Austria/Switzerland,Performance,Social media,,Human resources,Reminder fees from consumers,,,,,,,,
,,Distribution,Human capital,Many different products and formats,Self-Checkout,Retail (sales partner),,Marketing,,,,,,,,,
,,Expansion of distribution channels,Dealer network,Many different personalisations possible,,TV,,Payment fees,,,,,,,,,
,,,,Personal customer service even on weekends,,Radio,,Infrastructure and devices,,,,,,,,,
,,,,Money back guarantee,,Newsletter Marketing,,,,,,,,,,,
Lynk & Co offers its customers to rent out their car via its own car-sharing service during the time they are not using it. This turns the car into an additional source of income. Consumers today value access to a product more than ownership.,Manufacturer,R & D,Fire,Sustainable car ownership,Direct sales,Clubs,Motorists,Personnel costs,"Sale of the cars 46,000 ??(basic price 01Plug-in Hybrid)",lynk-co,,,,,,,
,Insurances,Design,Community of tenants,Easy to operate,App,Website,Young car buyers,Insurance of the cars,Subscription 550??month,,,,,,,,
,,Platform support,Community of landlords,Additional income,Clubs,App,People who do not always need a car,Maintenance of the cars,Rental of cars,,,,,,,,
,,App installation,App,Insurance cover,Customer Service,Social media,Car buyers,Running costs of the clubs,B2B Membership,,,,,,,,
,,Sales,,High-tech cars,Co:lab,Blogs,Car renters,App and website development,,,,,,,,,
,,Marketing,,Easy to use,,Public Relations,B2B customers,R&D,,,,,,,,,
,,,,Rental,,Word of Mouth,,Marketing,,,,,,,,,
,,,,Use of unused value,,Co:lab,,,,,,,,,,,
,,,,Insurance coverage,,,,,,,,,,,,,
,,,,Flexibility !,,,,,,,,,,,,,
Glassdoor offers its customers a quick and easy way to rate and view reviews of a company. The website is accessible 24/7 and free to use with a Basic Account. ,Former Employees,Creating technological infrastructure,Brand,Honest & transparent operation,Support team,Website,Former employees,Platform development,Online shop revenue,glassdoor,,,,,,,
,Employers,Community Management,Community of unemployed job seekers,Free membership for employers and employees,Glassdoor Research,Mobile app,Unemployed job seekers,Platform design (UI/UX),Revenues Local Shop,,,,,,,,
,Indeed,Customer Service,Community of employers,24/7 support,Online contact form,Social media,Employers,Human resources,"Employer Solutions packages (branding, review intelligence, insights)",,,,,,,,
,Recruit Co. Ltd,Marketing,,Compare companies & salaries,Mobile app,Public Relations,,Marketing,,,,,,,,,
,,,,Easy access to jobs,,Word of Mouth,,Payment Fees,,,,,,,,,
,,,,Employer Branding,,For employer Blog,,,,,,,,,,,
,,,,Branding guides,,,,,,,,,,,,,
,,,,Easy access to top talent,,,,,,,,,,,,,
"VOSS is available for purchase in on-premises markets, which means consumers can buy from resorts, restaurants, spas, or take-home retail markets (traditional supermarkets), or through the VOSS website. It is available in over 50 countries.","up-scale resorts and restaurants that sell VOSS (Tao, Komodo, Selanne Tavern, Mandarin Oriental, The Ritz-Carlton, etc.)",Finding on-premises distribution locations,Employees,"VOSS provides a high-quality product that is associated with elegance and luxury, creating a feeling of superiority and distinction between",Relationship is created between consumers and VOSS because of the value associated with the brand (makes consumers feel elevated),Ambassadors: people who provide samples and information to potential clients in order to make sales,"On-premises markets (restaurants, resorts, spas)",Water extraction and filtration,On-premises market sales,voss,,,,,,,
,Expanding into take-home market,Expanding into take-home market,Brand Ambassadors,VOSS consumers and consumers of other water bottle brands,Discount provided on website (10% off with promotion code),"On-premises markets: consumers can buy from resorts, restaurants, spas",consumers who buy VOSS from on-premises markets,Packaging,Take-home retail market sales,,,,,,,,
,,Expanding product line,Water from Norwegian streams,,,Take-home retail markets,consumers who buy VOSS from take-home markets,Manufacturing,Direct sales (from website),,,,,,,,
,,,Glass and plastic bottles,,,VOSS website,,Employee salaries,,,,,,,,,
,,,Hotels and restaurants,,,,,Website,,,,,,,,,
"Most of Miro's users successfully use the collaboration platform again and again, which means that the company benefits from a continuous customer relationship. In return, customers who are members of the Miro Professionals Network have the opportunity to become Miro experts and enjoy additional features and benefits. Thus, they can not only be users of Miro, but also become part of the company's offering, which provides an incentive to expand the connection.",Businesses of any form,Creating an effective and creative whiteboard,Brand,Effective working (= easy collaboration),Service Team,Website,"Teams of all kinds (e.g. Agile, Development, Marketing, Product, Project Management, Sales, UX)",Website Maintenance,IT-Dienstleistungen,miro,,,,,,,
,Students,Customer service,Collaborations with integrated tool providers,Creative work (= fast innovation and creation),Online platform,Social Media,"Stakeholders in the education sector (students, teachers, accredited organisations such as universities)",Service Team,Online-Whiteboard-Abonnement,,,,,,,,
,Pupils,Marketing,Collaboration platform,24/7 service,Social Media,Word of Mouth,Hackathons,Marketing,Live (from $ 29 to $ 125 per month; Enterprises on request),,,,,,,,
,Investors,Product development,,Design,Miro Academy/Tutorials,Advertising,Freelancers and agencies,Design Team,Free access or individual arrangements with Sales,,,,,,,,
,Companies behind the integrated tools,Ensuring functionality,,Ease of use,Status request,Blogs,Start-Ups,Start-up costs,Free: $ 0,,,,,,,,
,"Companies already using Miro (e.g. Dell, Deloitte, ...)",Enable diverse collaboration in virtual space across physical distance,,Easy collaboration and communication (e.g. through embedded video and chat functions),Help Centre,,Non Profit Organisations,Platform development,Team; $ 8 (per member and month; charged annually),,,,,,,,
,,"Offer various tools (e.g. sticky notes, templates, upload function, ...)",,"Integration of various tools (e.g. Jira Cards, Adobe XD, Slack, ...)",FAQ,,,Start-up and NPO support,Business: $ 16 (per member and month; charged annually),,,,,,,,
,,Ensure data protection,,predefined templates,Blog,,,,Enterprise: price adapted to the requirements of the client company Consultant: $ 12 (per member and month; charged annually) Free access or individual arrangements with Sales reduced prices for start-ups and non-profit organisations,,,,,,,,
,,,,"Free, limited access possible (freemium)","Versions for mobile phones, tablets, desktops and other interactive displays",,,,Consultant: $ 12 (per member and month; charged annually),,,,,,,,
,,,,free access to many features (accepted application),,,,,reduced prices for start-ups and non-profit organisations,,,,,,,,
,,,,$ 1000 as credit or up to 20 % discount,,,,,,,,,,,,,
,,,,30 % discount on offers to be paid,,,,,,,,,,,,,
"Because Coinbase wants to reach as many people as possible, their services are made very accessible and tailored to different age groups. They offer an app for mobile phones, but also provide a web version.",Investors,Accounting,Investments,Easy access for buying and selling cryptocurrencies (= Economic Freedom),Buying and selling cryptocurrencies,Website,Customers with no previous cryptocurrency experience,Platform development and maintenance,Variable fees charged by customers when buying cryptocurrencies,coinbase,,,,,,,
,E-commerce payment,Investment banking,Ventures,Secure and fast completion of transactions,Secure storage of cryptocurrencies,Mobile app,Customers making payment transactions with cryptocurrencies,IT infrastructure,Variable fees for transactions,,,,,,,,
,Companies banks,Consulting,GDAX (Global Digital Asset Exchange) (now Coinbase Pro),Popular platform for cryptocurrencies,Insurance cover,E-Mail,Business,Security of the IT infrastructure,Advertising of new crypto projects,,,,,,,,
,Company,Support,Platform & trading functions,Open financial system (= Open Financial System),Support,Electronic commerce,E-commerce,"Services (= server rental, etc.)",,,,,,,,,
,Insurance companies,Sales,Cryptocurrencies,Enables transactions anywhere and at any time through desktop and mobile channels,,GDAX,Banks,Operating costs and personnel costs,,,,,,,,,
,Information technology developers (provide new technologies and opportunities for Coinbase development),Equity management,Merchants and payment providers (disseminate company offers),Low transaction costs,,Blog,Payment companies -> Could be divided into two parts: Those that acquire crypto and speculate or transact with it. Those who want to offer crypto as a form of payment in their business.,Research and development,,,,,,,,,
,,Bridge between fiat money and digital currency,Human resources,Offers API and merchant tools for online sellers,,Social media,,Insurance cover,,,,,,,,,
,,Enabling transactions between consumers & online merchants (through tools) ,,,,Community forum,,Investments in new companies,,,,,,,,,
,,,,,,,,"Marketing and support (blogs, videos, ...)",,,,,,,,,
,,,,,,,,Buy and sell orders,,,,,,,,,
,,,,,,,,Commissions for affiliates,,,,,,,,,
"Pinterest earns money by sending advertising messages from other companies, influencers, etc. to customers.",Investors,Increasing the user base in the US and internationally,Active users,Visual search,Personalised pin organisation,App,478 million users,Hosting of the website,"Performance displays: Sales, app installs, sign-ups",pinterest,,,,,,,
,Users,Retain users on the platform through high quality pins,User data,Personalised content,Inspire and inspire action,Website,71.1% are female,Personnel costs,Brand ads,,,,,,,,
,Advertisers/Company,Improve the app & website,Technology Asset,Pinterest as a source of inspiration,Diversity of discovery through visual search,Social Media,32% are between 18 & 29 years old,share-based payments for employees,Cost per thousand impressions (CPM),,,,,,,,
,Content creator,Increase the number of businesses through promising marketing on Pinterest,High quality pins,Organise/plan pins,Inspire and inspire action,Support Model,34% are between 30 & 49 years old,Payments related to partner agreements,Cost per click (CPC),,,,,,,,
,Technology partner,,Relationships with users/companies,Explore Encourages ideas to be put into practice,Independence,Business & Partner Pages,38% are between 50 & 64 years old,Research and development,Cost per action (CPA),,,,,,,,
,Social media platform / search engines,,,Plan events,Customised support,,50%+ live outside the U.S.,Sales and marketing,For videos: Cost per view (CPV) or CPM,,,,,,,,
,Lobby groups,,,Uninterrupted marketing,Positive place to establish a close relationship with clients,,"""8 out of 10 mums are on Pinterest""",administrative costs,,,,,,,,,
,,,,Target group diversity,,,Designer,,,,,,,,,,
,,,,Offer a wide user space,,,Large national / multinational brands,,,,,,,,,,
,,,,,,,Medium-sized companies,,,,,,,,,,
,,,,,,,Small or medium-sized enterprises,,,,,,,,,,
,,,,,,,"Sole traders, individuals, influencers, etc.",,,,,,,,,,
The Cyclon shoe consists of reusable products. Subscription ensures that the raw materials always remain in circulation and are recycled by On and used as raw material for a new pair of shoes.,Shipping company,Design,Brand,Innovative,Support Team,Social media,Performance-oriented runners,Design,Classic sales,on,,,,,,,
,Roger Federer,Production,Research & Development,Lightweight,Flagship Stores,Word of Mouth,Fashion conscious people with a preference for comfortable shoes,Arkema Innovation Partner,"Subscription (29,95 / month)",,,,,,,,
,Athletes,Marketing,Roger Federer (as a investor and person),Circular subscription for high-performance running shoes,,"Multichannel (Dealer, Website, E-Commerce, etc.)",Environmentally conscious and performance-oriented runners,Production,,,,,,,,,
,Arkema (Innovation Partner & Supplier,Development,Innovation team,Conserving resources,,Website,,Marketing,,,,,,,,,
,,Take-back mechanism,Take-back mechanism,Current shoe model,,,,Shipping & Returns,,,,,,,,,
,,Recycling,Network of consumers,Subscription model,,,,Recycling,,,,,,,,,
,,,Recycling process,Natural raw materials,,,,Development,,,,,,,,,
,,,Bio-based materials of natural origin:,,,,,,,,,,,,,,
,,,PA11 - Castor bean Pebax,,,,,,,,,,,,,,
"They, for example, are targeting people who are on keto or low-carb diets.",Influencers,Aggressive marketing,Social media presence,much healthier alternative,direct-to-consumer brand,available on their website and through their Amazon storefront,millenials who are more self-aware of their health and are also on certain diets,Marketing,Direct selling,magic-spoon,,,,,,,
,Amazon,Great online presence,Influencers,creating a nostalgic feeling,Closeness to customers,Facebook,targeting individuals who are keto or on low-carb diets,Design,Selling through amazon,,,,,,,,
,Private Customers interested in a healthy diet,Selling through influencers,Amazon shop,"creating a nostalgic feeling keto-friendly, non-GMO, and free of any artificial flavors and preservatives.",Depending on reviews by consumes,High social media presence,influencers who share their keto journey and even look for individuals who are keto to join their affiliate program,Research and recipe,Direct selling,,,,,,,,
,,,Online shop,grain-free and gluten-free,,,,Cereal,,,,,,,,,
,,,Great designed,,,,,Boxes,,,,,,,,,
,,,Great designed,,,,,,,,,,,,,,
"Some businesses want their products to appeal to a specific niche, whereas others want to reach a broad market.",Logistic Partners,Merchandising,Workplace culture,Price,Support team,Website,Consumers,Platform development,"Commissions, transactions fees",snappy-gifts,,,,,,,
,Sellers,Platform design and optimization,Human software engineers,creating a nostalgic feeling,"Automated, self service",Affiliates,PR,Platform design (UI/UX),Subscriptions,,,,,,,,
,Affiliates,,Service and gift providers,Selection,,,,Human resources,Sales margin,,,,,,,,
,Sellers of services,,,Fast Fulfilment,,,,Marketing,,,,,,,,,
,,,,,,,,Payment Fees,,,,,,,,,
"Oyo Rooms can be booked via the website as well as via the company's own app. On social media accounts, the booking page is also linked, making it quick and easy for a potential customer to bid for a stay.","Hotels, Clubs, Companies",Development and maintenance of the Oyo website and app,Mobile App,High quality designed app,Hotel staff,Website,Adventurous Travellers,Costs for the development and maintenance of the platform (website and app),Reservation fee,oyo,,,,,,,
,Influencer,Partnerships with hotels,Thousands of hotel properties,Customer experience,24/7 Customer Service,Mobile app,Travelling Families,Costs for renovation,Membership fees,,,,,,,,
,Electronic payment services like Paytm,Ensuring the customer,Customer database,Simple booking process,Social Media,Social media,Business travellers,Branding,Sponsors and partners,,,,,,,,
,Taxi companies like OLA,Experience,Employees,Fast and reliable search,,Blogs,Hotels,Costs for IT infrastructure,,,,,,,,,
,Dinner reservation services like Dineout,Conducting promotional and marketing activities,Investors,Personalised room features,,,,Marketing and advertising costs,,,,,,,,,
,In-room entertainment services like Netflix,Hire competent staff,,Holiday packages,,,,Salary costs for employees,,,,,,,,,
,,Support effective communication,,Discounts,,,,Other operating and administrative costs,,,,,,,,,
,,,,Discounts for members,,,,,,,,,,,,,
,,,,Entertainment services,,,,,,,,,,,,,
"Apple Fitness+ increases sales by doing very good advertising to inform new as well as existing customers about their new products or software, like Fitness+ in this example, and to inspire them. With Fitness+, Apple generates a new customer segment, people with an interest in health and sport.",Fitness Trainer,Streaming workouts,Brand,Improves Well-Being and Health,Apple Support,IPhone (App),Existing Apple users,Streaming costs,Subscriber payments,apple-fitness,,,,,,,
,Nike,Visualisation of health data,Music (from Apple Music),Cheaper than most gyms,Contact via the app,Apple Watch (App),Subscribers,Production costs,,,,,,,,,
,Music label,Promoting Well-Being,Community,No equipment (most of the time),,Macbook,People interested in sports,Marketing,,,,,,,,,
,,Developing new workouts,Awareness,Great benefits of home training through Covid,,Apple TV,,HR,,,,,,,,,
,,,,Tracking of training success,,,,Design,,,,,,,,,
,,,,Complete package,,,,Partner,,,,,,,,,
"According to Fandom, they make enough money by renting out advertising space to be profitable. These are online areas and targeted advertising placements on certain wikis (main topics). This allows you to precisely target audiences as different consumers browse specific wikis.",fan bases,Hosting collaborative wiki websites,Workplace culture,Free membership,Support team,Website,Fandom communities,Platform development + maintenance,advertising revenue,fandom,,,,,,,
,Communities,Community Management,Human software engineers,Anything goes (as long as it's legal),Online application,Mobile app,Entertainment companies (e.g. Marvel),Platform design,,,,,,,,,
,advertisers,Software development and maintenance (MediaWiki),Service and gift providers,Easy to use blog space,Mobile application,Social media,advertising companies,Human resources,,,,,,,,,
,,,,data mining,,,,Marketing,,,,,,,,,
,,,,advertising space,,,,Servers,,,,,,,,,
,,,,,,,,Employees,,,,,,,,,
"Revolut has a user-friendly interface, their website, as well as their mobile app are both easy to use and clearly designed. The website works just as smoothly on the mobile phone as it does on the laptop. The Revolut app is inclusively designed and even for people who are not that comfortable with smartphones easy to use. Furthermore, Revolut has made it possible for people with sight loss or visually impaired people to use their App with all its additional features. They can navigate the screen by using the VoiceOver function of Apple and the TalkBack function of Android.",Investors,Strong growing Customer base,Equity Crowdfunding,Amazing customer experience,Digital only,Website,Businesses (Start Ups),"Software development, Server",Subscription plans,revolut,,,,,,,
,Banks,Software development,Technology,Hassle-free money transfer,Transparent service,Mobile app,Millennials,Infrastructure,Rewards,,,,,,,,
,VISA,Digital product,Employees,Fair and frictionless platform to manage money globally,Performance,"Social media, Blogs etc.",Founders,Staff,Loans to other financial institutes ??net interest margin,,,,,,,,
