Company,Description,Key Partners,Key Activities,Key Resources,Value Propositions,Customer Relationships,Channels,Customer Segments,Cost Structure,Revenue Streams
christian-dior-s-a-,"French luxury goods company dedicated to designing, producing, and marketing products such as garments, fashion accessories, cosmetics, and fragrances.","Specialized fashion designers, Specialized researchers, dermatologists, beauticians, Licensing partners, Logistics partners, Suppliers","Design & creation, R&D, Manufacturing, Marketing & branding, Logistics, Retail","Brand, Patents & style, Research facilities & factories, Company-owned shops","Beauty & happiness, Design, High quality & excellence","Loyalty programs, Dedicated customer service, Extensive information offer: Dior TV, Dior Mag, Newsletter, Social media channels","Dior boutiques, Department stores, Online shop","Luxury-loving & quality-conscious people, People with higher income","Operational costs, Required resources/ raw material, Human resources, Marketing","Product sales, Licensing fees"
linkedin,"LinkedIn is a business oriented social networking service launched in May, 2003. As of March 2015, LinkedIn has more than 347 million users worldwide, making it the largest professional network in the world. LinkedIn is a prime example of a freemium business model. While its entry level services are free for all users, its premium offerings come for a price. This enables the user to try LinkedIn indefinitely without any payment thus creating a low barrier for entry.",IT partners for platform hosting,"Development and operations of LinkedIn platform, Sales",LinkedIn website & app,- Build and manage professional network - Display individual career & experience to potential business partners or recruiters - Knowledge exchange in interest groups,"Standardized webservices, Network effects","LinkedIn website, Mobile Apps, API","Internet users seeking professional networking, Recruiters & HR Specialists, Advertisers, Developers","Advertising, Product development, Platform operations","Subscription (Freemium model), Marketing solutions, - Advertising revenues - Branded corporate pages - Database access"
mcdonald-s,"McDonald's is an American fast food company started in 1940 in San Bernardino, California, by Richard and Maurice McDonald. They renamed their business a hamburger stand and then converted it into a franchise, introducing the Golden Arches emblem in 1953 at a location in Phoenix, Arizona. In 1955, businessman Ray Kroc joined the company as a franchise agent and eventually acquired the chain from the McDonald brothers. McDonald's previously had its headquarters in Oak Brook, Illinois, but relocated to Chicago in June 2018. McDonald's is the world's largest restaurant chain in terms of revenue, serving more than 69 million people daily in more than 100 countries through 37,855 locations as of 2018.","Franchisees, Suppliers, Food and beverage companies, Logistics´ partners, Media representatives","Product development, Marketing, Quality control, Training (McCampus)","Image/ Brand, Supply chain, Kitchen equipment, Food products","Fast & easy food, Quality standards, Well accessible locations, Customers, Efficient & elaborated system","Website, Social Media, McCommunity, Training","Restaurant branches, Social Media, Exhibitions","Restaurant customers, Kids & family, Members of McCommunity, Franchisees","Management, Media presence, Training, Equipment, real estate costs, royalties","Product sales, Franchise fees, rent, royalties"
paypal,"PayPal established an online fee-based payment service that can be used to transfer funds, e.g. to purchase or sell goods and services, to make or receive donations, as well as to send or receive payments for auctions at eBay or other e-commerce websites. Money can be transferred to anyone with just an email address, however the recipient needs to hold a PayPal account to receive the money. For sales in the U.S., sellers pay mostly 2.9% per transaction and even less if they sell more or if nonprofits are involved. International sales cost 3.9% transaction fee plus a fixed fee based on the currency received. Sending money is free in the U.S. when the funds are transferred from the bank account or PayPal balance.","Banks & companies providing financial services, e.g. Venmo, Payment providers, Members of the partner program, Developers","IT infrastructure development & maintenance, Providing online security, Marketing & Sales, Customer service","Payment platform, Partnerships, Brand awareness","Fast & safe online payment process, No need to share financial information, Flexibility","Referral program, Membership, Online training resources, Customer support, Blog","Website, Partner programs, Mobile apps","Buyers: B2B B2C eBay auction buyers, Sellers: Merchants Businesses eBay auction sellers","Platform development & maintenance, Transaction security, Human resources","Transaction fee, Nominal fee per sale, Fee for international currencies"
facebook,"Facebook's (Meta Platforms Inc.) business model is based on a platform which allows users to share messages, photos, personal updates, and more. It is the world's leading social network site devoted to connect users all over the world. Users can sign up for free and receive access to a range of products such as news feed, messaging services, groups, and events among other things. The platform is further extensively used by businesses that can engage with their customers in the social context.","App & game developers, Content providers","Platform development and maintenance, Data management","Facebook platform, Brand, High number of users, User data, Technological infrastructure","Social interaction (e.g. communication, content discovery, sharing, marketing etc.), Targeted advertising & viral marketing, - Access to user data - Social and viral distribution - Easy sign-up through Facebook Connect","Long-term, Network effects","Website & mobile apps, Facebook Ads, API & tools for developers","Internet users (individuals & organizations), Fortune 500 and SME advertisers and marketers, Developers","Development and operation costs of platform, Cost for IT infrastructure, Costs for data storage, R&D","Free, Advertising revenues, Payment revenues & 30% cut on Facebook credits"
kickstarter,"Kickstarter positions itself as a platform and a recourse for creators where everyone can launch a project from various disciplines if certain requirements are met. The control and the responsibility over the projects remains with the project creators who also define the funding goal and the deadline. Once a project is launched, people who like the project can pledge an amount of money to help realize the project. The funding is based on an all-or-nothing policy implying that projects must achieve the targets set in order to receive any money. In case a project is successfully funded, Kickstarter retains 5% of the funds raised.","Payment partners (Amazon in the US), Business communities, Large organizations","Product development (designing & coding), Community building & management","Platform, Interesting projects, Online social networks","Support of new projects, Helps people realize their dreams, Home for ideas from different categories, e.g. film, art, and technology, Open for anyone","Community support team, Blog, Social media","Website, Social media, Word of mouth","Project creators, Backers","Platform development & maintenance, Marketing",5% fee to the funds collected
easyjet,"EasyJet is a British low-cost point-to-point airline focusing on making travel easy and affordable in Europe. It has made its priority to deliver an efficient service at low cost while maintaining the highest level of safety. Having established an intra-European short-haul network, easyJet flies from primary airports serving attractive catchment areas. In 2014, easyJet had over 65 million passengers which makes it the second-largest low-cost airline in Europe behind Ryanair.","Airports, Caterer, easy Group","Flight operations, Yield management, Customer service",Homogenous airline fleet,"Low cost point-to-point flights, Paid extra services",Mostly automated services,"Booking over the website, Mobile services","Business traveller, Low cost traveller","Lowered costs for: - airline fleet, staff, operatiions","Ticket sales, Paid extras"
solarcity,"SolarCity Corporation was a publicly listed corporation based in Fremont, California. The company sold and installed solar energy generation systems, as well as other associated products and services, to residential, commercial, and industrial customers. Peter and Lyndon Rive, cousins of Tesla, Inc. CEO Elon Musk, launched the company on July 4, 2006. Tesla acquired SolarCity for around $2.6 billion in 2016 and reorganized its solar operations as Tesla Energy. SolarCity concentrated its efforts on door-to-door sales of leased systems, in which customers paid no upfront fees but agreed to purchase the electricity generated by the panels from the firm for 20 years. SolarCity's business model became the most popular in the United States and propelled the company to become the largest residential solar installer, but it saddled the company with over $1.5 billion in debt by the time it was acquired in 2016, drawing criticism from consumer advocates and government regulators.","Suppliers of solar panels, Finance partners (e.g. Banks, Google)","Sales, Technical installation, System design, Site survey, Customer service","Sun, Cheap solar panels, Talented workforce, Tax credits and rebate programs","Saving money on electrical bills (low, predictable, locked-in rates), Free and fast solar panel installation, Clean & sustainable electricity, Maintenance, repairs, and insurance at no added costs","Personal assistance through energy advisors, On-site support, Customer service online","On-site, Word of mouth, Website","Households, Business & government","Purchase of solar panels, Human resources, Installation and maintenance of solar power systems","Monthly lease/ usage fee, Sales of solar systems and accessories such as t-shirts, Interest from the loan"
weight-watchers,"Weight Watchers is a globally represented company providing weight management services, operating through a network of company-owned and franchise operations. Through its website, the company offers subscriptions for weight management products and provides interactive and personalized resources allowing users to follow their weight management plans online. The main service of Weight Watcher are the weekly meetings that are led by someone who has succeeded on Weight Watchers. Here, the customers are given tools and strategies to overcome possible challenges and they can share their experiences during this peer-to-peer meetings. Other weight loss services are related to food and recipes as well as fitness and heal. In 2018, the company rebranded to ""WW"" to reflect ""its development from focusing on weight loss to overall health and wellness","Franchisees, Sponsors (e.g. food companies), Restaurants (Applebee), Celebrities as faces of the brand","Organization and management of the personal sessions, Marketing & Branding, Sales, Building & maintaining technological infrastructure, Network management, Meeting Room management","Brand, Network of leaders & members, IP Products","Group support through weekly meetings, Proven and effective program, Personal coaching and 24/7 expert chat, Supermarket Foods, PointsPlus® program with in-person guidance","Communities, Dedicated personal assistance, Real- life success stories","Mobile apps included with Online and eTools subscriptions, Group meetings with a weight-loss mentor, Supermarkets & restaurants, Social media","People suffering from obesity or overweight, Men who care about their weight, Employers who want to keep the workforce in shape","Rent expenses, Commissions for meeting leaders, Technological infrastructure, Human resources","Meeting fees through its officially licensed support groups, Product sales (recipe books, points calculators, pre-packaged meals, etc.), Internet revenues (sale of subscriptions and advertising space), Licensing & franchise royalties"
youtube,"YouTube provides a platform to display a wide variety of user-generated and corporate video content that is mostly exposable for viewing and sharing. Individual and corporate content producers are able to upload videos from different categories including video clips, TV clips, music videos, video blogging or educational videos. Companies and other organizations use the free streaming of certain content, as part of the YouTube partnership program. The launch of ""YouTube for TV"" enabled to view the videos on TV-based media devices. Unregistered users can watch videos, but need to affirm themselves to be at least 18 years old in case of videos containing potentially offensive content. YouTube was bought by Google in November 2006 and now operates as a Google subsidiary.","Developers, Media & entertainment companies, Content producer","Development of technological infrastructure, User experience & design, Product development, Partnership management, Ad sales","Video content, Ad audience, Brand, People who provide content","Discover, watch and share originally-created videos, Forum for people to connect, inform, and inspire others worldwide, Distribution platform for original content creators and advertisers","Subscription, Creator Hub/ Creator Academy for educational purposes, Partner program","Website, Mobile app, Social media, Integration in different websites","Video viewers, Content producers, Advertisers","Technological maintenance, Storage costs, Networking costs, Server costs","Free for video viewers, Advertising"
burger-king,"Founded in 1954, Burger King evolved as the second largest fast food chain in the world and became popular primarily for its whoppers. In the past years, Burger King turned away from its business model of selling the products directly to the end consumers and established the business practice of outsourcing the funding and operation of their numerous outlets almost completely to the franchisees. This strategy helped increase earnings as the company did not need to invest capital and the expansion of the brand in new markets rested with the new owners. Burger King aspires a 100% franchise business model.","Event organizers, Suppliers","Outsourcing, Customer service, Marketing & Branding, Restaurant management, Quality assurance","Brand, Licenses, Restaurants, Recipes, Cooking systems, Employees","Global customer base, High coverage through a large number of outlets, Support programs for franchisees, High-quality, tasty & affordable food, Delivery service, Family-friendly","On-site support through regional managers, Loyalty program, Social media","Franchise, Restaurants, Delivery","Franchisees, Mass market","Franchisee support programs, Facilities & other assets, Marketing, Ingredients, Human resources","Royalties and franchise fees from franchises, Sales at company-operated restaurants., Income from leased or subleased properties"
uber,"Uber provides a smartphone-based service allowing individuals and companies to book rides in selected cities offered by a large pool of local drivers. Once the mobile app is downloaded, users can easily request a ride at any time by setting the location and choosing the desired car. Based on this information, Uber finds the nearest available driver. Uber sets the prices with fare quotes being based on the city where the ride is requested, distance, car type, and demand period, with premium prices for rides during peak demand times. Users pay Uber for the service and the company splits the revenues generated from the rides with the drivers.","Drivers, Payment partners (Google Wallet, PayPal), Partners for rewards program (American Express), Restaurants","Maintenance & development of IT infrastructure, Community operations, Marketing, Management of drivers, Stimulate Networkeffect","Database with registered drivers, IT infrastructure, Independent contractors as drivers","Seamless travel, On-demand delivery from the finest restaurants in several cities, Safety & comfort, Convenience, Increased transparency, Team management","Automated help center, Social media, Transactional",Mobile application,"Mass market: people looking for a ride, Businesses","R&D, Technology development, Customer acquisition costs (e.g. rebates) & Marketing, Human resources, Costs for service operations in the cities covered",Revenues from fares/ revenues-sharing with drivers
immocation,"Immocation is an educational platform for acquiring wealth through real estate. The company was founded in 2016 in Munich, Germany and its purpose is to financially educate their users on how to earn a passive income from investing in real estate. The product consists of educational videos, tools and community. The idea of the founders was to build a platform where people can educate themselves without having to need some kind of personal advisor. They sell different packages of informations that are necessary before entering the real estate business. The company can be regarded as a 360º coaching for acquiring, renting, managing and selling real estate. Immocation has a relatively large following on all relevant social media platforms - that’s also where they market most of their products. Consequently the company build a strong community over the years, that is very committed to helping one another and improve by following the same goal.","Investors, Distribution, Video Hosting, Coaches","Producing Content, Finding Experts, Designing Tools, Finding Partners, Provide knowledge","Expertise, Community, Website, Channels","Calculating Tools, Rating Real Estate, Knowledge about Real Estate Market, Committed Community, Time Saving, Low-Cost-Entry in Real Estate Market","Community-Involvement, Expert-Teams, Self Service, Physical Meetings „Stammtisch“, Seminars, E-Mail","Website, Mobile app, Social Media, Blog, Public Relations, Word of Mouth, Podcasts, E-Mail, Books, Events","People uneducated but interested in real estate, People who want to acquire more knowledge","Product Development, Human Resource, Server Costs & Maintenance, Marketing, Payment Fees","Selling Calculation-Tools, Selling Books, Selling Information-Products, Seminars, Masterclasses"
da-vinci-surgical-system,"The Da Vinci Surgical Device is a robot-assisted surgical system that enables ""minimally intrusive"" surgical procedures. The system is controlled by a surgeon via a console and is programmed to act as an assistant or facilitator to the surgeon, with the benefit of compensating for involuntary motions and hand tremors. The robot is manufactured by Intuitive Surgical, a California-based business that specializes in robotic urology and gynecological surgery. Intuitive Surgical was formed in 2000 in California and employs 5,527 employees now. In 2012, the Da Vinci surgical systems performed an anticipated 200,000 procedures and will reach a global installed base of 4,986 units in 2019-2020.","Legal institutions, Surgeons, Patients, Investor, Research labs, Advanced manufacturing facilities, Service providers, Programmers, Developers, Hospitals, Competitors","Creating technological infrastructure, Customer service, Product development, Prototype development, Manufacturing, Marketing, Turnover, Training, Research & Development, Surgical interventions","Robust technology, Video classifier files Has installed over 1,800 systems worldwide, Is the global technology leader in minimally invasive robot-assisted surgery, Coaching & Training","Trusted & reliable systems, Promise more effective surgery with lower risk factor, Enables less invasive surgical procedures, Safer surgical procedures for more people, Make surgery easier for surgeons","Close contact During demonstrations of the operation procedure (answering questions), Private Coaching -Longer contact with the surgeons during demonstrations of the equipment., Self-directed training, Ongoing supervision and support of the surgeons with the equipment","Direct channel, Indirectly via distributors, Sales representatives, Website, Social media, Trade fairs","Hospitals, Clinics, Patients who need surgery, Surgeons using the Da Vinci systems for operations","Human Resources, Marketing, Research & Development, Engineers, Production Costs, Distribution costs, Offices, Laboratories, Technology","A da Vinci surgical system costs approximately between $500,000 and $2.5 million per system, depending on model, configuration and other factors, 29% revenue from the sale of instruments, Intuitive generates most of its revenue from the sale of instruments and accessories, which accounts for over half (52%) of the company's total revenue., In addition, a further 19% of the company's total turnover comes from service sales., + in addition, the company earns revenue from providing services to customers (service contracts on initial purchase of the systems -> which are up to 170,000 US $ annually)."
